sim_seconds,40.498736,,# Number of seconds simulated
sim_ticks,40498736279500,,# Number of ticks simulated
final_tick,40498736279500,,# Number of ticks from beginning of simulation (restored from checkpoints and never reset)
sim_freq,1000000000000,,# Frequency of simulated ticks
host_inst_rate,787609,,# Simulator instruction rate (inst/s)
host_op_rate,1266792,,# Simulator op (including micro ops) rate (op/s)
host_tick_rate,1625364220,,# Simulator tick rate (ticks/s)
host_mem_usage,797724,,# Number of bytes of host memory used
host_seconds,24916.71,,# Real time elapsed on the host
sim_insts,19624618187,,# Number of instructions simulated
sim_ops,31564301085,,# Number of ops (including micro ops) simulated
system.voltage_domain.voltage,1,,# Voltage in Volts
system.clk_domain.clock,1000,,# Clock period in ticks
system.mem_ctrls.pwrStateResidencyTicks::UNDEFINED,40498736279500,,# Cumulative time (in ticks) in various power states
system.mem_ctrls.bytes_read::cpu0.inst,55936,,# Number of bytes read from this memory
system.mem_ctrls.bytes_read::cpu0.data,62480640,,# Number of bytes read from this memory
system.mem_ctrls.bytes_read::total,62536576,,# Number of bytes read from this memory
system.mem_ctrls.bytes_inst_read::cpu0.inst,55936,,# Number of instructions bytes read from this memory
system.mem_ctrls.bytes_inst_read::total,55936,,# Number of instructions bytes read from this memory
system.mem_ctrls.bytes_written::writebacks,3093568,,# Number of bytes written to this memory
system.mem_ctrls.bytes_written::total,3093568,,# Number of bytes written to this memory
system.mem_ctrls.num_reads::cpu0.inst,874,,# Number of read requests responded to by this memory
system.mem_ctrls.num_reads::cpu0.data,976260,,# Number of read requests responded to by this memory
system.mem_ctrls.num_reads::total,977134,,# Number of read requests responded to by this memory
system.mem_ctrls.num_writes::writebacks,48337,,# Number of write requests responded to by this memory
system.mem_ctrls.num_writes::total,48337,,# Number of write requests responded to by this memory
system.mem_ctrls.bw_read::cpu0.inst,1381,,# Total read bandwidth from this memory (bytes/s)
system.mem_ctrls.bw_read::cpu0.data,1542780,,# Total read bandwidth from this memory (bytes/s)
system.mem_ctrls.bw_read::total,1544161,,# Total read bandwidth from this memory (bytes/s)
